Name,URL,Description,Language,Stars,Archived
owncast/owncast,https://github.com/owncast/owncast,Take control over your live stream video by running it yourself.  Streaming + chat out of the box.,Go,10418,False
defold/defold,https://github.com/defold/defold,"Defold is a completely free to use game engine for development of desktop, mobile and web games.",C++,5339,False
microsoft/vcpkg,https://github.com/microsoft/vcpkg,"C++ Library Manager for Windows, Linux, and MacOS",CMake,25420,False
Reference-LAPACK/lapack,https://github.com/Reference-LAPACK/lapack,LAPACK development repository,Fortran,1696,False
OpenMathLib/OpenBLAS,https://github.com/OpenMathLib/OpenBLAS,OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version. ,C,6919,False
abetlen/llama-cpp-python,https://github.com/abetlen/llama-cpp-python,Python bindings for llama.cpp,Python,9483,False
zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,12904,False
remoteintech/remote-jobs,https://github.com/remoteintech/remote-jobs,A list of semi to fully remote-friendly companies (jobs) in tech.,JavaScript,38513,False
kirodotdev/Kiro,https://github.com/kirodotdev/Kiro,Kiro is an agentic IDE that works alongside you from prototype to production.,N/A,1799,False
sharkdp/hexyl,https://github.com/sharkdp/hexyl,A command-line hex viewer,Rust,9761,False
sainnhe/tmux-fzf,https://github.com/sainnhe/tmux-fzf,Use fzf to manage your tmux work environment!,Shell,1178,False
superfly/flyctl,https://github.com/superfly/flyctl,Command line tools for fly.io services,Go,1559,False
denisidoro/navi,https://github.com/denisidoro/navi,An interactive cheatsheet tool for the command-line,Rust,16078,False
gitpod-io/gitpod,https://github.com/gitpod-io/gitpod,The developer platform for on-demand cloud development environments to create software faster and more securely.,TypeScript,13434,False
jerryc127/hexo-theme-butterfly,https://github.com/jerryc127/hexo-theme-butterfly, 🦋 A Hexo Theme: Butterfly,JavaScript,7859,False
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,Clone a voice in 5 seconds to generate arbitrary speech in real-time,Python,54872,False
bluenviron/mediamtx,https://github.com/bluenviron/mediamtx,"Ready-to-use SRT / WebRTC / RTSP / RTMP / LL-HLS media server and media proxy that allows to read, publish, proxy, record and playback video and audio streams.",Go,16028,False
Worklenz/worklenz,https://github.com/Worklenz/worklenz,All in one project management tool for efficient teams,TypeScript,2772,False
Freika/dawarich,https://github.com/Freika/dawarich,Self-hostable alternative to Google Timeline (Google Location History),Ruby,6408,False
Lissy93/dashy,https://github.com/Lissy93/dashy,"🚀 A self-hostable personal dashboard built for you. Includes status-checking, widgets, themes, icon packs, a UI editor and tons more!",Vue,22261,False
emilianavt/OpenSeeFace,https://github.com/emilianavt/OpenSeeFace,Robust realtime face and facial landmark tracking on CPU with Unity integration,Python,1667,False
iSegaro/Translate-It,https://github.com/iSegaro/Translate-It,"Chrome/Firefox extension for translating(Read/Write/Listen) from Any Languages to Any Languages using API of  Google Gemini , OpenAi , OpenRouter and  WebAi.",JavaScript,236,False
TheOdinProject/css-exercises,https://github.com/TheOdinProject/css-exercises,,HTML,2425,False
vosen/ZLUDA,https://github.com/vosen/ZLUDA,CUDA on non-NVIDIA GPUs,Rust,12922,False
strapi/strapi,https://github.com/strapi/strapi,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.",TypeScript,69107,False
langchain-ai/open_deep_research,https://github.com/langchain-ai/open_deep_research,,Python,7983,False
MotiaDev/motia,https://github.com/MotiaDev/motia,"Modern Backend Framework that unifies APIs, background jobs, workflows, and AI agents into a single cohesive system with built-in observability and state management.",TypeScript,6342,False
humanlayer/12-factor-agents,https://github.com/humanlayer/12-factor-agents,What are the principles we can use to build LLM-powered software that is actually good enough to put in the hands of production customers?,TypeScript,12661,False
TanStack/router,https://github.com/TanStack/router,"🤖 Fully typesafe Router for React (and friends) w/ built-in caching, 1st class search-param APIs, client-side cache integration and isomorphic rendering.",TypeScript,10843,False
TanStack/tanstack.com,https://github.com/TanStack/tanstack.com,The marketing and docs site for all TanStack projects,TypeScript,697,False
windwp/nvim-ts-autotag,https://github.com/windwp/nvim-ts-autotag,Use treesitter to auto close and auto rename html tag,Lua,1944,False
prettier/prettier,https://github.com/prettier/prettier,Prettier is an opinionated code formatter.,JavaScript,50843,False
remix-run/react-router,https://github.com/remix-run/react-router,Declarative routing for React,TypeScript,55378,False
timolins/react-hot-toast,https://github.com/timolins/react-hot-toast,Smoking Hot React Notifications 🔥 ,TypeScript,10599,False
postcss/postcss,https://github.com/postcss/postcss,Transforming styles with JS plugins,TypeScript,28854,False
pmndrs/zustand,https://github.com/pmndrs/zustand,🐻 Bear necessities for state management in React,TypeScript,54183,False
swc-project/swc,https://github.com/swc-project/swc,Rust-based platform for the Web,Rust,32598,False
dandavison/delta,https://github.com/dandavison/delta,"A syntax-highlighting pager for git, diff, grep, and blame output",Rust,27134,False
amitds1997/remote-nvim.nvim,https://github.com/amitds1997/remote-nvim.nvim,Remote development in Neovim 🔥,Lua,1037,False
muzei/muzei,https://github.com/muzei/muzei,Muzei Live Wallpaper for Android,Kotlin,4819,False
vwxyzjn/cleanrl,https://github.com/vwxyzjn/cleanrl,"High-quality single file implementation of Deep Reinforcement Learning algorithms with research-friendly features (PPO, DQN, C51, DDPG, TD3, SAC, PPG)",Python,7686,False
GeeeekExplorer/nano-vllm,https://github.com/GeeeekExplorer/nano-vllm,Nano vLLM,Python,5868,False
koodo-reader/koodo-reader,https://github.com/koodo-reader/koodo-reader,"A modern ebook manager and reader with sync and backup capacities for Windows, macOS, Linux, Android, iOS and Web",JavaScript,23524,False
karpathy/nn-zero-to-hero,https://github.com/karpathy/nn-zero-to-hero,Neural Networks: Zero to Hero,Jupyter Notebook,15445,False
karpathy/micrograd,https://github.com/karpathy/micrograd,A tiny scalar-valued autograd engine and a neural net library on top of it with PyTorch-like API,Jupyter Notebook,12574,False
subframe7536/maple-font,https://github.com/subframe7536/maple-font,"Maple Mono: Open source monospace font with round corner, ligatures and Nerd-Font icons for IDE and terminal, fine-grained customization options. 带连字和控制台图标的圆角等宽字体，中英文宽度完美2:1，细粒度的自定义选项",Python,18939,False
Alibaba-NLP/WebAgent,https://github.com/Alibaba-NLP/WebAgent,🌐 WebAgent for Information Seeking built by Tongyi Lab: WebWalker & WebDancer & WebSailor & WebShaper & WebWatcher https://arxiv.org/abs/2507.15061 https://arxiv.org/pdf/2507.02592 https://arxiv.org/pdf/2508.05748,Python,6148,False
alexpasmantier/television,https://github.com/alexpasmantier/television,"A cross-platform, fast and extensible general purpose fuzzy finder 📺",Rust,3301,False
philj56/tofi,https://github.com/philj56/tofi,Tiny dynamic menu for Wayland,C,1184,False
TriliumNext/Trilium,https://github.com/TriliumNext/Trilium,Build your personal knowledge base with Trilium Notes,TypeScript,30267,False
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",HTML,110293,False
mui/base-ui,https://github.com/mui/base-ui,"Unstyled UI components for building accessible web apps and design systems. From the creators of Radix, Floating UI, and Material UI.",TypeScript,5250,False
AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,"✨ Innovative and open-source visualization application that transforms various data formats, such as JSON, YAML, XML, CSV and more, into interactive graphs.",TypeScript,40973,False
jujumilk3/leaked-system-prompts,https://github.com/jujumilk3/leaked-system-prompts,Collection of leaked system prompts,N/A,12499,False
black-forest-labs/flux,https://github.com/black-forest-labs/flux,Official inference repo for FLUX.1 models,Python,24027,False
gitleaks/gitleaks,https://github.com/gitleaks/gitleaks,Find secrets with Gitleaks 🔑,Go,22970,False
coleam00/ottomator-agents,https://github.com/coleam00/ottomator-agents,All the open source AI Agents hosted on the oTTomator Live Agent Studio platform!,Python,3674,False
CollegesChat/university-information,https://github.com/CollegesChat/university-information,收集全国各高校招生时不会写明，却会实实在在影响大学生活质量的要求与细节,Python,4599,False
let-def/texpresso,https://github.com/let-def/texpresso,TeXpresso: live rendering and error reporting for LaTeX,C,590,False
mfussenegger/nvim-dap,https://github.com/mfussenegger/nvim-dap,Debug Adapter Protocol client implementation for Neovim,Lua,6574,False
Levizor/tray-tui,https://github.com/Levizor/tray-tui,System tray in your terminal,Rust,104,False
sargon/trayer-srg,https://github.com/sargon/trayer-srg,"trayer fork with multi monitor support, cleaned up codebase and other fancy stuff",C,230,False
Martchus/syncthingtray,https://github.com/Martchus/syncthingtray,Tray application and Dolphin/Plasma integration for Syncthing,C++,2375,False
learnbyexample/TUI-apps,https://github.com/learnbyexample/TUI-apps,Terminal User Interface (TUI) apps,Python,851,False
BetterDiscord/BetterDiscord,https://github.com/BetterDiscord/BetterDiscord,Better Discord enhances Discord desktop app with new features.,TypeScript,8578,False
charmbracelet/glow,https://github.com/charmbracelet/glow,"Render markdown on the CLI, with pizzazz! 💅🏻",Go,18804,False
google/google-java-format,https://github.com/google/google-java-format,Reformats Java source code to comply with Google Java Style.,Java,5886,False
echasnovski/mini.icons,https://github.com/echasnovski/mini.icons,Icon provider. Part of 'mini.nvim' library. ,Lua,269,False
nvim-tree/nvim-web-devicons,https://github.com/nvim-tree/nvim-web-devicons,Provides Nerd Font icons (glyphs) for use by neovim plugins,Lua,2466,False
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,TypeScript,70147,False
GNOME/meld,https://github.com/GNOME/meld,Read-only mirror of https://gitlab.gnome.org/GNOME/meld,Python,1191,False
aria2/aria2,https://github.com/aria2/aria2,"aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink.",C++,38478,False
elastic/elasticsearch,https://github.com/elastic/elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",Java,73569,False
microsoft/edit,https://github.com/microsoft/edit,We all edit.,Rust,12063,False
poteto/hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,⭐️  Companies that don't have a broken hiring process,JavaScript,49134,False
lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.,N/A,21766,False
iamgio/quarkdown,https://github.com/iamgio/quarkdown,"🪐 Markdown with superpowers — from ideas to papers, presentations and books.",Kotlin,8886,False
unslothai/unsloth,https://github.com/unslothai/unsloth,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train OpenAI gpt-oss, Qwen3, Llama 4, DeepSeek-R1, Gemma 3, TTS 2x faster with 70% less VRAM.",Python,44252,False
habamax/vim-godot,https://github.com/habamax/vim-godot,Use vim and godot engine to make games,Vim Script,549,False
godot-rust/gdext,https://github.com/godot-rust/gdext,Rust bindings for Godot 4,Rust,3909,False
ashmanix/obs-plugin-countdown,https://github.com/ashmanix/obs-plugin-countdown,An OBS plugin that creates countdown timers.,C++,96,False
exeldro/obs-scene-collection-manager,https://github.com/exeldro/obs-scene-collection-manager,,C++,71,False
Off-World-Live/obs-spout2-plugin,https://github.com/Off-World-Live/obs-spout2-plugin,A Plugin for OBS Studio to enable Spout2 (https://github.com/leadedge/Spout2) input / output,C++,765,False
mikefarah/yq,https://github.com/mikefarah/yq,"yq is a portable command-line YAML, JSON, XML, CSV, TOML  and properties processor",Go,13925,False
windwp/nvim-autopairs,https://github.com/windwp/nvim-autopairs,autopairs for neovim written in lua,Lua,3757,False
kortix-ai/suna,https://github.com/kortix-ai/suna,Suna - Open Source Generalist AI Agent,TypeScript,17516,False
MystenLabs/sui,https://github.com/MystenLabs/sui," Sui, a next-generation smart contract platform with high throughput, low latency, and an asset-oriented programming model powered by the Move programming language",Rust,7270,False
espressif/esp-idf,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,C,16040,False
vllm-project/vllm,https://github.com/vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,Python,55579,False
cline/cline,https://github.com/cline/cline,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",TypeScript,49385,False
EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,Blazingly fast LLM inference.,Rust,6023,False
